experiment_a,experiment_b,feature,experiment_a_auc,experiment_a_ci_low,experiment_a_ci_high,experiment_a_direction,experiment_b_auc,experiment_b_ci_low,experiment_b_ci_high,experiment_b_direction,point_direction_reversal,reversal_status,step9e_relationship_direction_flag
bejis_2022,mugla_2021,tvdi_difference_mean,0.5124941631737097,0.4431549328523628,0.5829402577021532,higher_values_rank_burned,0.4900245995441075,0.3964138391440796,0.5747477756769651,lower_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
bejis_2022,mugla_2021,downscaled_lst_mean,0.4836430737466933,0.4003605903074035,0.5598325680030973,lower_values_rank_burned,0.3069772529643672,0.2532048192658658,0.3658370610145918,lower_values_rank_burned,False,no_direction_reversal,False
bejis_2022,mugla_2021,fused_lst_mean,0.4806129105103555,0.4039472512732557,0.5514025133468518,lower_values_rank_burned,0.3252143462207417,0.2720012810467721,0.3827633213333897,lower_values_rank_burned,False,no_direction_reversal,False
evia_2021_extended,manavgat_2021,ndvi_mean,0.6391494562092995,0.5749285449525442,0.7006046421340476,higher_values_rank_burned,0.6359169371099176,0.5872285206570871,0.6762849193685545,higher_values_rank_burned,False,no_direction_reversal,False
evia_2021_extended,manavgat_2021,elevation_mean,0.540559580910425,0.4483537317612215,0.626146085073554,higher_values_rank_burned,0.37410755666893913,0.2890796631009303,0.4711534398242251,lower_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
evia_2021_extended,manavgat_2021,slope_mean,0.486543098344048,0.41769297357779134,0.554042450008236,lower_values_rank_burned,0.5309574867864721,0.4228454993639831,0.641707826568334,higher_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
evia_2021_extended,manavgat_2021,lst_anomaly_mean,0.6400549435604515,0.5671047052827075,0.710175869871198,higher_values_rank_burned,0.4823529005017941,0.4279530417105843,0.5299474237983043,lower_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
evia_2021_extended,manavgat_2021,current_lst_mean,0.37651907667348405,0.3012790089007279,0.45585820887246337,lower_values_rank_burned,0.5382779853437281,0.45176227230170396,0.620503038933485,higher_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
evia_2021_extended,manavgat_2021,current_tvdi_mean,0.36188826587369816,0.2852365355103699,0.44217142834635265,lower_values_rank_burned,0.5520208992479892,0.4602480293883392,0.6410618349429631,higher_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
evia_2021_extended,manavgat_2021,tvdi_difference_mean,0.5191031776643451,0.4444187250619392,0.5889301019447588,higher_values_rank_burned,0.44939202798988004,0.3905414223569665,0.5051782545937413,lower_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
evia_2021_extended,manavgat_2021,downscaled_lst_mean,0.3765491129362415,0.29685914048213763,0.4593307010841324,lower_values_rank_burned,0.5520694210669516,0.4659633972389294,0.637150621852662,higher_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
evia_2021_extended,manavgat_2021,fused_lst_mean,0.37566126384147186,0.30015191434549077,0.4556221037116367,lower_values_rank_burned,0.5400826188182982,0.4542805043929701,0.6218679874478806,higher_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
evia_2021_extended,montiferru_2021,ndvi_mean,0.6391494562092995,0.5749285449525442,0.7006046421340476,higher_values_rank_burned,0.5862731853113042,0.45014383161602317,0.7043832813462082,higher_values_rank_burned,False,no_direction_reversal,False
evia_2021_extended,montiferru_2021,elevation_mean,0.540559580910425,0.4483537317612215,0.626146085073554,higher_values_rank_burned,0.5837706290859124,0.3953155499799928,0.7623088314675833,higher_values_rank_burned,False,no_direction_reversal,False
evia_2021_extended,montiferru_2021,slope_mean,0.486543098344048,0.41769297357779134,0.554042450008236,lower_values_rank_burned,0.6519721105399766,0.5059965620455151,0.7705472817222545,higher_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
evia_2021_extended,montiferru_2021,lst_anomaly_mean,0.6400549435604515,0.5671047052827075,0.710175869871198,higher_values_rank_burned,0.39519013227598904,0.285145350453144,0.5345227829044743,lower_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
evia_2021_extended,montiferru_2021,current_lst_mean,0.37651907667348405,0.3012790089007279,0.45585820887246337,lower_values_rank_burned,0.3704643770906685,0.24782684782865552,0.5129602234841384,lower_values_rank_burned,False,no_direction_reversal,False
evia_2021_extended,montiferru_2021,current_tvdi_mean,0.36188826587369816,0.2852365355103699,0.44217142834635265,lower_values_rank_burned,0.3555286181577596,0.2331671304845549,0.4990539748344443,lower_values_rank_burned,False,no_direction_reversal,False
evia_2021_extended,montiferru_2021,tvdi_difference_mean,0.5191031776643451,0.4444187250619392,0.5889301019447588,higher_values_rank_burned,0.37762180818824925,0.2821229847499818,0.49651149112782955,lower_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
evia_2021_extended,montiferru_2021,downscaled_lst_mean,0.3765491129362415,0.29685914048213763,0.4593307010841324,lower_values_rank_burned,0.364736376795746,0.24025899649425494,0.5110558445055425,lower_values_rank_burned,False,no_direction_reversal,False
evia_2021_extended,montiferru_2021,fused_lst_mean,0.37566126384147186,0.30015191434549077,0.4556221037116367,lower_values_rank_burned,0.37047270506479624,0.247836825343333,0.5130079558295708,lower_values_rank_burned,False,no_direction_reversal,False
evia_2021_extended,mugla_2021,ndvi_mean,0.6391494562092995,0.5749285449525442,0.7006046421340476,higher_values_rank_burned,0.6616527794184797,0.6156274522323434,0.7035074327376446,higher_values_rank_burned,False,no_direction_reversal,False
evia_2021_extended,mugla_2021,elevation_mean,0.540559580910425,0.4483537317612215,0.626146085073554,higher_values_rank_burned,0.6114025048859928,0.5319021930545539,0.6904319830630276,higher_values_rank_burned,False,no_direction_reversal,False
evia_2021_extended,mugla_2021,slope_mean,0.486543098344048,0.41769297357779134,0.554042450008236,lower_values_rank_burned,0.6368180084143384,0.5819257681498503,0.68641744780742,higher_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
evia_2021_extended,mugla_2021,lst_anomaly_mean,0.6400549435604515,0.5671047052827075,0.710175869871198,higher_values_rank_burned,0.4845735569026068,0.3945167019229775,0.5660732073894761,lower_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
evia_2021_extended,mugla_2021,current_lst_mean,0.37651907667348405,0.3012790089007279,0.45585820887246337,lower_values_rank_burned,0.324818209196232,0.2713831954453114,0.3821312123411832,lower_values_rank_burned,False,no_direction_reversal,False
evia_2021_extended,mugla_2021,current_tvdi_mean,0.36188826587369816,0.2852365355103699,0.44217142834635265,lower_values_rank_burned,0.3357699119089857,0.27535685410747573,0.39757500369355586,lower_values_rank_burned,False,no_direction_reversal,False
evia_2021_extended,mugla_2021,tvdi_difference_mean,0.5191031776643451,0.4444187250619392,0.5889301019447588,higher_values_rank_burned,0.49002459954410754,0.3964138391440796,0.5747477756769651,lower_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
evia_2021_extended,mugla_2021,downscaled_lst_mean,0.3765491129362415,0.29685914048213763,0.4593307010841324,lower_values_rank_burned,0.30697725296436723,0.25320481926586585,0.36583706101459185,lower_values_rank_burned,False,no_direction_reversal,False
evia_2021_extended,mugla_2021,fused_lst_mean,0.37566126384147186,0.30015191434549077,0.4556221037116367,lower_values_rank_burned,0.32521434622074175,0.2720012810467721,0.3827633213333897,lower_values_rank_burned,False,no_direction_reversal,False
manavgat_2021,montiferru_2021,ndvi_mean,0.6359169371099176,0.5872285206570871,0.6762849193685545,higher_values_rank_burned,0.5862731853113042,0.45014383161602317,0.7043832813462082,higher_values_rank_burned,False,no_direction_reversal,False
manavgat_2021,montiferru_2021,elevation_mean,0.37410755666893913,0.2890796631009303,0.4711534398242251,lower_values_rank_burned,0.5837706290859124,0.3953155499799928,0.7623088314675833,higher_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
manavgat_2021,montiferru_2021,slope_mean,0.5309574867864721,0.4228454993639831,0.641707826568334,higher_values_rank_burned,0.6519721105399766,0.5059965620455151,0.7705472817222545,higher_values_rank_burned,False,no_direction_reversal,False
manavgat_2021,montiferru_2021,lst_anomaly_mean,0.4823529005017941,0.4279530417105843,0.5299474237983043,lower_values_rank_burned,0.39519013227598904,0.285145350453144,0.5345227829044743,lower_values_rank_burned,False,no_direction_reversal,False
manavgat_2021,montiferru_2021,current_lst_mean,0.5382779853437281,0.45176227230170396,0.620503038933485,higher_values_rank_burned,0.3704643770906685,0.24782684782865552,0.5129602234841384,lower_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
manavgat_2021,montiferru_2021,current_tvdi_mean,0.5520208992479892,0.4602480293883392,0.6410618349429631,higher_values_rank_burned,0.3555286181577596,0.2331671304845549,0.4990539748344443,lower_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
manavgat_2021,montiferru_2021,tvdi_difference_mean,0.44939202798988004,0.3905414223569665,0.5051782545937413,lower_values_rank_burned,0.37762180818824925,0.2821229847499818,0.49651149112782955,lower_values_rank_burned,False,no_direction_reversal,False
manavgat_2021,montiferru_2021,downscaled_lst_mean,0.5520694210669516,0.4659633972389294,0.637150621852662,higher_values_rank_burned,0.364736376795746,0.24025899649425494,0.5110558445055425,lower_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
manavgat_2021,montiferru_2021,fused_lst_mean,0.5400826188182982,0.4542805043929701,0.6218679874478806,higher_values_rank_burned,0.37047270506479624,0.247836825343333,0.5130079558295708,lower_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
manavgat_2021,mugla_2021,ndvi_mean,0.6359169371099176,0.5872285206570871,0.6762849193685545,higher_values_rank_burned,0.6616527794184797,0.6156274522323434,0.7035074327376446,higher_values_rank_burned,False,no_direction_reversal,False
manavgat_2021,mugla_2021,elevation_mean,0.37410755666893913,0.2890796631009303,0.4711534398242251,lower_values_rank_burned,0.6114025048859928,0.5319021930545539,0.6904319830630276,higher_values_rank_burned,True,bootstrap_supported_direction_reversal,True
manavgat_2021,mugla_2021,slope_mean,0.5309574867864721,0.4228454993639831,0.641707826568334,higher_values_rank_burned,0.6368180084143384,0.5819257681498503,0.68641744780742,higher_values_rank_burned,False,no_direction_reversal,False
manavgat_2021,mugla_2021,lst_anomaly_mean,0.4823529005017941,0.4279530417105843,0.5299474237983043,lower_values_rank_burned,0.4845735569026068,0.3945167019229775,0.5660732073894761,lower_values_rank_burned,False,no_direction_reversal,False
manavgat_2021,mugla_2021,current_lst_mean,0.5382779853437281,0.45176227230170396,0.620503038933485,higher_values_rank_burned,0.324818209196232,0.2713831954453114,0.3821312123411832,lower_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
manavgat_2021,mugla_2021,current_tvdi_mean,0.5520208992479892,0.4602480293883392,0.6410618349429631,higher_values_rank_burned,0.3357699119089857,0.27535685410747573,0.39757500369355586,lower_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
manavgat_2021,mugla_2021,tvdi_difference_mean,0.44939202798988004,0.3905414223569665,0.5051782545937413,lower_values_rank_burned,0.49002459954410754,0.3964138391440796,0.5747477756769651,lower_values_rank_burned,False,no_direction_reversal,False
manavgat_2021,mugla_2021,downscaled_lst_mean,0.5520694210669516,0.4659633972389294,0.637150621852662,higher_values_rank_burned,0.30697725296436723,0.25320481926586585,0.36583706101459185,lower_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
manavgat_2021,mugla_2021,fused_lst_mean,0.5400826188182982,0.4542805043929701,0.6218679874478806,higher_values_rank_burned,0.32521434622074175,0.2720012810467721,0.3827633213333897,lower_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
montiferru_2021,mugla_2021,ndvi_mean,0.5862731853113042,0.45014383161602317,0.7043832813462082,higher_values_rank_burned,0.6616527794184797,0.6156274522323434,0.7035074327376446,higher_values_rank_burned,False,no_direction_reversal,False
montiferru_2021,mugla_2021,elevation_mean,0.5837706290859124,0.3953155499799928,0.7623088314675833,higher_values_rank_burned,0.6114025048859928,0.5319021930545539,0.6904319830630276,higher_values_rank_burned,False,no_direction_reversal,False
montiferru_2021,mugla_2021,slope_mean,0.6519721105399766,0.5059965620455151,0.7705472817222545,higher_values_rank_burned,0.6368180084143384,0.5819257681498503,0.68641744780742,higher_values_rank_burned,False,no_direction_reversal,False
montiferru_2021,mugla_2021,lst_anomaly_mean,0.39519013227598904,0.285145350453144,0.5345227829044743,lower_values_rank_burned,0.4845735569026068,0.3945167019229775,0.5660732073894761,lower_values_rank_burned,False,no_direction_reversal,False
montiferru_2021,mugla_2021,current_lst_mean,0.3704643770906685,0.24782684782865552,0.5129602234841384,lower_values_rank_burned,0.324818209196232,0.2713831954453114,0.3821312123411832,lower_values_rank_burned,False,no_direction_reversal,False
montiferru_2021,mugla_2021,current_tvdi_mean,0.3555286181577596,0.2331671304845549,0.4990539748344443,lower_values_rank_burned,0.3357699119089857,0.27535685410747573,0.39757500369355586,lower_values_rank_burned,False,no_direction_reversal,False
montiferru_2021,mugla_2021,tvdi_difference_mean,0.37762180818824925,0.2821229847499818,0.49651149112782955,lower_values_rank_burned,0.49002459954410754,0.3964138391440796,0.5747477756769651,lower_values_rank_burned,False,no_direction_reversal,False
montiferru_2021,mugla_2021,downscaled_lst_mean,0.364736376795746,0.24025899649425494,0.5110558445055425,lower_values_rank_burned,0.30697725296436723,0.25320481926586585,0.36583706101459185,lower_values_rank_burned,False,no_direction_reversal,False
montiferru_2021,mugla_2021,fused_lst_mean,0.37047270506479624,0.247836825343333,0.5130079558295708,lower_values_rank_burned,0.32521434622074175,0.2720012810467721,0.3827633213333897,lower_values_rank_burned,False,no_direction_reversal,False
