feature,population,source_experiment_id,target_experiment_id,source_mean_difference,target_mean_difference,source_median_difference,target_median_difference,source_rank_biserial_correlation,target_rank_biserial_correlation,source_raw_auc,target_raw_auc,mean_direction_flip,median_direction_flip,rank_effect_direction_flip,raw_auc_below_0_5_in_one_region_only,relationship_flip_score
current_lst_mean,all_valid,manavgat_2021,mugla_2021,2.704559061776969,2.590728105692314,2.745187759399414,1.5276222229003906,0.31416737689116636,0.16301830718826027,0.6570836884455832,0.5815091535941301,False,False,False,False,0
current_lst_mean,burnable_tree_shrub,manavgat_2021,mugla_2021,1.6437616870074692,-2.43722649251081,1.8629035949707031,-2.218202590942383,0.2635742216542112,-0.33256814205183005,0.6317871108271056,0.333715928974085,True,True,True,True,3
current_lst_mean,burnable_tree_shrub_grass,manavgat_2021,mugla_2021,2.428260977000747,-2.7121200768831883,2.571887969970703,-2.5188961029052734,0.3293982858407771,-0.350363581607536,0.6646991429203886,0.324818209196232,True,True,True,True,3
current_tvdi_mean,all_valid,manavgat_2021,mugla_2021,0.15285120532534474,0.12896711913193298,0.17817187309265137,0.06081134080886841,0.3431551765631933,0.1694257267538941,0.6715775882815966,0.5847128633769471,False,False,False,False,0
current_tvdi_mean,burnable_tree_shrub,manavgat_2021,mugla_2021,0.1060486481862511,-0.08985587789357874,0.1269226372241974,-0.08533543348312378,0.29507170701872587,-0.3077265363523407,0.6475358535093629,0.34613673182382965,True,True,True,True,3
current_tvdi_mean,burnable_tree_shrub_grass,manavgat_2021,mugla_2021,0.140937282437906,-0.09705647933006234,0.16818594932556152,-0.09273689985275269,0.3541669762724604,-0.3284601761820286,0.6770834881362302,0.3357699119089857,True,True,True,True,3
downscaled_lst_mean,all_valid,manavgat_2021,mugla_2021,2.7985054000393745,2.5366792615888514,2.8571815490722656,1.3929386138916016,0.34395996647635685,0.14201215255075672,0.6719799832381784,0.5710060762753784,False,False,False,False,0
downscaled_lst_mean,burnable_tree_shrub,manavgat_2021,mugla_2021,1.7470278195542548,-2.4725746804331763,2.0503921508789062,-2.0290565490722656,0.3027815905511362,-0.3665313301866604,0.6513907952755681,0.3167343349066698,True,True,True,True,3
downscaled_lst_mean,burnable_tree_shrub_grass,manavgat_2021,mugla_2021,2.51116496243921,-2.742531419009808,2.728487014770508,-2.292694091796875,0.3663008989337324,-0.38604549407126554,0.6831504494668662,0.30697725296436723,True,True,True,True,3
elevation_mean,all_valid,manavgat_2021,mugla_2021,-414.6361886979624,369.5248958395143,-567.7796478271484,467.45162200927734,-0.3251519724661007,0.5262197173240115,0.33742401376694964,0.7631098586620058,True,True,True,True,3
